City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
381,General Roca,AR,73.4,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
383,Saratoga Springs,US,73.0,overcast clouds,43.0831,-73.7846,Holiday Inn Saratoga Springs
385,Arantangi,IN,84.02,few clouds,10.1667,78.9833,Hotel Sami V Landmarks
386,Noumea,NC,79.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
389,Khipro,PK,87.91,clear sky,25.8285,69.3772,Raja Hotel
390,Biltine,TD,88.48,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
391,Puerto Madryn,AR,71.33,few clouds,-42.7692,-65.0385,Hotel Tolosa
393,Mahibadhoo,MV,83.1,scattered clouds,3.7833,72.9667,Omadhoo Inn
394,Tautira,PF,80.6,broken clouds,-17.7333,-149.15,Pension Oaoa
395,Tirumala,IN,70.14,scattered clouds,13.6833,79.35,Deva Annamayya Restaurant
397,Isangel,VU,78.46,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
398,Media Luna,CU,85.06,overcast clouds,20.1419,-77.435,Casa particular Pedro y Tamara
399,Bubaque,GW,77.32,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
406,Sarakhs,IR,77.0,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
415,Manavalakurichi,IN,80.6,mist,8.1333,77.3,Udaya Boys Hostel
420,Junin,AR,73.99,few clouds,-34.5838,-60.9433,Hotel Copahue
424,Thai Binh,VN,75.2,clear sky,20.45,106.3333,Sweden Hotel
429,Rawson,AR,71.08,clear sky,-43.3002,-65.1023,Hosteria Sampedro
436,Karjat,IN,84.2,haze,18.9167,73.3333,Amber Farms
437,Amahai,ID,77.65,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
439,Quelimane,MZ,78.8,broken clouds,-17.8786,36.8883,Hotel Flamingo
442,Santa Cruz,BO,86.0,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
446,Katherine,AU,75.2,broken clouds,-14.4667,132.2667,Pine Tree Motel
450,Karangampel,ID,79.77,broken clouds,-6.4622,108.4519,ROOFTOP WAG ALL
451,Sao Jose Da Coroa Grande,BR,81.5,moderate rain,-8.8978,-35.1478,Crôa Mares Hotel
453,Calama,CL,71.6,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
460,Teguise,ES,75.2,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
462,Hambantota,LK,80.46,overcast clouds,6.1241,81.1185,Bungalow 63
465,Afua,BR,86.47,overcast clouds,-0.1567,-50.3867,Hotel Dias
466,Meulaboh,ID,77.25,overcast clouds,4.1363,96.1285,Kost Pria
468,Takoradi,GH,83.26,broken clouds,4.8845,-1.7554,Raybow International Hotel
471,Namatanai,PG,76.12,light rain,-3.6667,152.4333,Namatanai Hotel
473,Alyangula,AU,71.6,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
474,Manono,CD,72.1,light rain,-7.3,27.4167,Hotel hewa bora
479,Point Fortin,TT,82.99,broken clouds,10.1833,-61.6833,Jus Les' Suites
482,Qena,EG,73.4,clear sky,26.1615,32.7183,"Grand hotel ""Quena"""
483,The Hammocks,US,90.0,few clouds,25.6715,-80.4445,Casa tío Hernan
484,La Orilla,MX,83.14,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
486,Cairns,AU,73.4,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
487,Rio Real,BR,87.57,overcast clouds,-11.4847,-37.9328,Hotel WD
488,Sao Joao Da Barra,BR,87.8,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
491,Pisco,PE,75.2,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
493,Goalpara,IN,80.13,few clouds,26.1667,90.6167,SPOT ON 66402 Hotel
496,Nieves,PH,77.0,scattered clouds,15.3274,120.9485,Bill's Inn
498,Barquisimeto,VE,77.0,broken clouds,10.0739,-69.3228,Hotel Príncipe
499,Sabang,ID,83.71,clear sky,5.8933,95.3214,Hotel Citra
501,Ibra,OM,77.56,scattered clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
505,Bafq,IR,72.72,overcast clouds,31.6128,55.4107,Alamdar Hotel
506,Xai-Xai,MZ,73.02,clear sky,-25.0519,33.6442,Complexo da Familia
511,Kendari,ID,74.7,scattered clouds,-3.945,122.4989,Hotel Wixel
513,Ramhormoz,IR,86.0,scattered clouds,31.28,49.6035,کافی نت کاریزما
517,Bull Savanna,JM,82.67,broken clouds,17.8868,-77.5902,Big Red's
519,Kinablangan,PH,77.02,overcast clouds,7.6947,126.5503,Danny Moreno Property
522,Roma,US,71.6,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
523,Maceio,BR,75.2,mist,-9.6658,-35.7353,Poutur Pousada
528,Byumba,RW,75.2,scattered clouds,-1.5763,30.0675,RGC206 [AIRTEL]
530,San Bartolome De Tirajana,ES,71.6,few clouds,27.9248,-15.5733,Las Tirajanas
534,Guhagar,IN,80.31,few clouds,17.4842,73.1929,Hotel Seawinds
538,Naliya,IN,79.61,clear sky,23.2667,68.8333,Hotel Panchvati
540,Ravar,IR,75.87,overcast clouds,31.2656,56.8055,computertik
541,Najran,SA,89.6,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
549,Sinnamary,GF,77.58,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
557,Buala,SB,78.3,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
559,Sunam,IN,79.52,broken clouds,30.1333,75.8,"Shree Shiv Niketan Dharmshala,sunam"
561,Rayon,MX,75.2,few clouds,19.1444,-99.5836,La Paloma
563,Nisia Floresta,BR,87.8,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
564,Praia,CV,82.4,clear sky,14.9215,-23.5087,LT Aparthotel
565,Bac Lieu,VN,81.93,few clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
567,Camana,PE,71.91,overcast clouds,-16.6228,-72.7111,Hostal Morales
570,Archidona,ES,71.01,broken clouds,37.0965,-4.3887,Hotel Escua
571,Umm Lajj,SA,71.17,clear sky,25.0213,37.2685,Moon light Furnished Units
572,Umarkot,PK,86.36,clear sky,25.3616,69.7362,Al-Qamar Boys Hostel
573,Mocuba,MZ,71.19,overcast clouds,-16.8392,36.9856,Phama Lodge
574,Port Hedland,AU,80.6,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
577,Conceicao Do Araguaia,BR,85.01,light rain,-8.2578,-49.2647,Tarumã Tropical Hotel
580,Taft,IR,75.2,scattered clouds,31.7471,54.2088,بوم گردی حاجی زینل تفت
581,Conde,BR,80.6,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
587,Rio Grande,BR,80.6,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
588,Bahia Blanca,AR,71.98,clear sky,-38.7196,-62.2724,Hotel Argos
589,De Aar,ZA,77.22,broken clouds,-30.6497,24.0123,Stoneburgh B&B
593,Grand Gaube,MU,79.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
594,Dicabisagan,PH,74.46,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
595,Mach,PK,78.33,few clouds,29.8637,67.3298,Naqeebullah hotel mach نقیب اللہ ہوٹل مچھ
598,Batouri,CM,70.39,light rain,4.4333,14.3667,Hotel Hollywood
599,Trairi,BR,84.52,broken clouds,-3.2778,-39.2689,janelas do mar
604,Abeche,TD,87.48,clear sky,13.8292,20.8324,Assaleh Hamdan Haroune
613,Santa Lucia,ES,71.6,few clouds,27.9117,-15.5407,Las Tirajanas
619,Awbari,LY,87.71,scattered clouds,26.5921,12.7805,فندق أوباري
621,Arrecife,ES,75.2,few clouds,28.963,-13.5477,Hotel Lancelot
624,Chiredzi,ZW,72.57,clear sky,-21.05,31.6667,The Nesbitt Arms
632,Palasbari,IN,73.4,mist,26.1361,91.5486,Hotel Kings Castle
636,Birjand,IR,71.6,scattered clouds,32.8663,59.2211,Birjand Tourist Hotel
639,Aguada De Pasajeros,CU,87.8,few clouds,22.385,-80.8508,Soles de Marti
640,Dalbandin,PK,80.74,scattered clouds,28.8947,64.4101,Sanjrani House
648,Ca Mau,VN,81.5,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
651,Puli,TW,71.01,mist,23.9664,120.9695,小島好樂
653,Bandarbeyla,SO,80.04,broken clouds,9.4942,50.8122,JABIR HOTEL
655,Ulundi,ZA,70.68,clear sky,-28.3352,31.4162,Ekhethelo Lodge
656,Aguimes,ES,71.6,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
658,Eyl,SO,80.83,broken clouds,7.9803,49.8164,Amiin Hotel
668,Concepcion Del Oro,MX,75.09,broken clouds,24.6333,-101.4167,HOTEL HACIENDA SAN JAVIER
671,Mercedes,AR,70.0,broken clouds,-34.6515,-59.4307,Posada del Inti Centro
675,Ardakan,IR,75.2,scattered clouds,32.31,54.0175,Ardakan Hotel
680,Bodden Town,KY,86.0,few clouds,19.2833,-81.25,Will T Place
681,Hoi An,VN,77.0,few clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
682,Graaff-Reinet,ZA,77.0,overcast clouds,-32.2522,24.5308,Rietjiesbos B&B
683,Franca,BR,83.64,clear sky,-20.5386,-47.4008,Imperador Palace Hotel
684,Quatre Cocos,MU,78.8,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
685,Lazaro Cardenas,MX,83.01,clear sky,17.9583,-102.2,Hotel Quinta Antigua
687,Longview,US,77.0,clear sky,32.5007,-94.7405,Homewood Suites by Hilton Longview
689,Cavalcante,BR,82.76,broken clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
691,Hattiesburg,US,73.0,clear sky,31.3271,-89.2903,Deluxe Inn
693,Samarai,PG,79.39,broken clouds,-10.6167,150.6667,Nuli Sapi
694,Metro,ID,75.11,broken clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
695,Manta,EC,82.4,overcast clouds,-0.95,-80.7333,Balandra Hotel
696,Mayo,US,77.0,clear sky,38.8876,-76.5119,Resorts Resource Group International
702,Guayaramerin,BO,87.8,few clouds,-10.8368,-65.3614,Hostal Funf
710,Boali,CF,89.6,few clouds,4.8005,18.1275,Auberge des Cocotiers Boali poste
711,Santa Luzia,BR,82.4,clear sky,-19.7697,-43.8514,Pousada Chao Earth
