City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,69,1,3.44,clear sky
81,Katsuura,JP,35.1333,140.3,53.6,82,20,4.61,few clouds
82,Khalkhal,IR,37.6189,48.5258,50.49,64,57,3.42,broken clouds
83,Lebu,CL,-37.6167,-73.65,60.82,67,0,14.23,clear sky
84,Thompson,CA,55.7435,-97.8558,21.2,79,90,14.97,overcast clouds
85,Souillac,MU,-20.5167,57.5167,78.8,89,40,5.75,light rain
86,Guantanamo,CU,20.1444,-75.2092,86.0,62,75,16.11,broken clouds
87,Saint Anthony,US,45.0205,-93.218,50.0,71,90,12.66,overcast clouds
88,Ahipara,NZ,-35.1667,173.1667,62.51,91,8,2.33,clear sky
89,Constitucion,CL,-35.3333,-72.4167,68.58,48,0,17.36,clear sky
90,Pierre,US,44.3683,-100.351,51.01,61,90,28.77,overcast clouds
91,Castro,BR,-24.7911,-50.0119,79.48,39,2,7.34,clear sky
92,Las Juntas,MX,19.4167,-104.7,82.4,78,20,11.5,few clouds
93,Cascais,PT,38.6979,-9.4215,62.01,63,20,16.11,few clouds
94,De Land,US,29.0283,-81.3031,64.0,94,90,8.05,heavy intensity rain
95,Carnarvon,AU,-24.8667,113.6333,77.0,100,90,16.11,overcast clouds
96,Tura,IN,25.5198,90.2201,78.12,41,34,6.42,scattered clouds
97,San Cristobal,VE,7.7669,-72.225,89.6,48,40,11.5,scattered clouds
98,Coihaique,CL,-45.5752,-72.0662,57.2,88,90,10.36,light rain
99,Tiksi,RU,71.6872,128.8694,-2.63,80,95,6.78,overcast clouds
100,Bilma,NE,18.6853,12.9164,95.5,5,22,10.11,few clouds
101,Anadyr,RU,64.75,177.4833,-5.01,77,100,15.66,snow
102,Srandakan,ID,-7.9386,110.2506,78.42,84,100,2.59,overcast clouds
103,Basco,PH,20.4487,121.9702,76.82,81,65,20.38,broken clouds
104,Coahuayana,MX,18.7333,-103.6833,80.6,44,20,6.91,few clouds
105,Caluquembe,AO,-13.7833,14.6833,65.86,56,84,2.01,broken clouds
106,Bredasdorp,ZA,-34.5322,20.0403,60.8,94,100,3.44,overcast clouds
107,Barrow,US,71.2906,-156.7887,-16.6,83,1,4.61,clear sky
108,Manzanillo,CU,20.3433,-77.1167,90.3,43,81,8.43,broken clouds
109,Bethel,US,41.3712,-73.414,63.0,77,90,10.36,light rain
110,Mazamari,PE,-11.3258,-74.5308,78.4,79,95,3.04,moderate rain
111,Ingham,US,42.6,-84.3833,57.2,67,75,12.66,broken clouds
112,Acarau,BR,-2.8856,-40.12,83.88,71,72,15.12,broken clouds
113,Esperance,AU,-33.8667,121.9,60.8,72,90,23.02,light rain
114,Manado,ID,1.487,124.8455,77.0,100,40,2.19,scattered clouds
115,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,26.6,80,40,6.71,scattered clouds
116,Pangnirtung,CA,66.1451,-65.7125,26.6,74,75,3.44,broken clouds
117,Kapaa,US,22.0752,-159.319,69.01,88,75,3.44,light rain
118,Cayenne,GF,4.9333,-52.3333,87.8,66,75,9.22,broken clouds
119,Hamilton,US,39.1834,-84.5333,54.0,82,90,16.11,overcast clouds
120,Taltal,CL,-25.4,-70.4833,68.05,68,16,5.37,few clouds
121,Shushtar,IR,32.0455,48.8567,76.21,34,42,5.17,scattered clouds
122,Morant Bay,JM,17.8815,-76.4093,84.0,74,40,21.85,scattered clouds
123,Hilo,US,19.7297,-155.09,68.0,63,1,6.91,clear sky
124,Den Helder,NL,52.9599,4.7593,43.0,65,20,10.36,few clouds
125,Torbay,CA,47.6666,-52.7314,36.0,100,90,4.61,moderate rain
126,East London,ZA,-33.0153,27.9116,69.8,94,75,5.75,broken clouds
127,Rosarito,MX,32.3333,-117.0333,66.99,68,75,6.4,broken clouds
128,Kalmunai,LK,7.4167,81.8167,80.89,75,91,4.03,moderate rain
129,Chokurdakh,RU,70.6333,147.9167,-19.32,99,52,8.12,broken clouds
130,Yalutorovsk,RU,56.6536,66.3006,38.77,82,64,11.72,broken clouds
131,Port Alfred,ZA,-33.5906,26.891,67.28,90,98,2.64,overcast clouds
132,Alofi,NU,-19.0595,-169.9187,68.0,100,13,1.14,few clouds
133,Avarua,CK,-21.2078,-159.775,77.0,100,40,1.14,light rain
134,Arraial Do Cabo,BR,-22.9661,-42.0278,87.8,40,0,11.5,clear sky
135,Changying,CN,52.8733,123.3213,16.03,78,100,5.32,overcast clouds
136,Plettenberg Bay,ZA,-34.0527,23.3716,62.85,85,100,2.39,overcast clouds
137,Bluff,NZ,-46.6,168.3333,46.99,97,53,1.99,broken clouds
138,Saldanha,ZA,-33.0117,17.9442,68.0,64,99,9.22,overcast clouds
139,Broken Hill,AU,-31.95,141.4333,46.4,57,0,4.61,clear sky
140,Balsas,BR,-7.5325,-46.0356,84.92,60,89,4.38,overcast clouds
141,Kang,BW,-23.6752,22.7876,74.8,33,0,4.7,clear sky
142,Usinsk,RU,65.9939,57.5281,33.21,78,49,17.78,scattered clouds
143,Chuy,UY,-33.6971,-53.4616,64.42,81,95,23.73,overcast clouds
144,Benghazi,LY,32.1167,20.0667,63.18,51,70,17.25,broken clouds
145,Beringovskiy,RU,63.05,179.3167,2.79,94,100,25.66,snow
146,Qaanaaq,GL,77.484,-69.3632,23.02,92,100,8.21,light snow
147,Palmer,US,42.1584,-72.3287,59.0,71,75,11.5,broken clouds
148,Kenai,US,60.5544,-151.2583,21.0,53,90,21.85,overcast clouds
149,Ust-Koksa,RU,50.2696,85.6108,30.18,80,4,1.16,clear sky
150,Linxia,CN,35.6003,103.2064,47.23,66,59,3.85,broken clouds
151,Pacific Grove,US,36.6177,-121.9166,55.0,71,40,3.44,scattered clouds
152,Honiara,SB,-9.4333,159.95,76.59,87,99,2.71,light rain
153,Dumabato,PH,16.3167,121.7,67.06,96,52,0.81,broken clouds
154,Fort Nelson,CA,58.8053,-122.7002,19.4,45,20,14.97,few clouds
155,Mongo,TD,12.1844,18.693,93.07,5,4,6.98,clear sky
156,Volchanets,RU,42.9131,132.7469,42.31,95,74,4.81,broken clouds
157,Touros,BR,-5.1989,-35.4608,86.0,66,40,16.11,scattered clouds
158,Praia Da Vitoria,PT,38.7333,-27.0667,68.0,73,20,12.68,few clouds
159,Teahupoo,PF,-17.8333,-149.2667,80.6,74,75,3.44,broken clouds
160,Ulagan,RU,50.6321,87.9563,24.71,82,13,2.04,few clouds
161,Berlevag,NO,70.8578,29.0864,35.6,86,40,40.29,snow
162,Teya,RU,60.3778,92.6267,29.89,94,100,2.53,overcast clouds
163,Xichang,CN,27.8964,102.2634,54.63,77,19,3.76,few clouds
164,Guerrero Negro,MX,27.9769,-114.0611,64.47,64,96,15.17,overcast clouds
165,San Quintin,MX,30.4833,-115.95,63.18,67,100,7.27,overcast clouds
166,Komsomolskiy,UZ,40.4272,71.7189,57.2,38,39,9.22,scattered clouds
167,Bismarck,US,46.8083,-100.7837,39.2,75,90,16.11,moderate rain
168,San Patricio,US,28.017,-97.5169,81.0,65,20,12.66,few clouds
169,Medicine Hat,CA,50.0501,-110.6683,36.0,75,90,13.8,overcast clouds
170,Itarema,BR,-2.9248,-39.9167,85.46,65,65,14.7,light rain
171,Birao,CF,10.2849,22.7882,89.91,9,87,6.44,overcast clouds
172,Bambous Virieux,MU,-20.3428,57.7575,79.0,89,40,5.75,light rain
173,Ponta Do Sol,PT,32.6667,-17.1,62.01,73,97,1.99,overcast clouds
174,Tazovskiy,RU,67.4667,78.7,29.57,96,100,17.38,light snow
175,Novoagansk,RU,61.9449,76.6625,38.39,98,100,12.48,overcast clouds
