City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sulangan,PH,2021-04-08 15:22:07,11.1373,123.7228,81.55,74,97,15.21
68,Maniitsoq,GL,2021-04-08 15:22:07,65.4167,-52.9,31.84,92,100,26.78
69,Belaya Gora,RU,2021-04-08 15:22:07,68.5333,146.4167,-7.28,99,100,3.71
70,Ust-Tsilma,RU,2021-04-08 15:22:08,65.441,52.1498,41.56,86,100,15.82
71,Yellowknife,CA,2021-04-08 15:19:27,62.456,-114.3525,1.4,78,75,17.27
72,Mahebourg,MU,2021-04-08 15:22:08,-20.4081,57.7,80.6,74,75,6.91
73,Kodiak,US,2021-04-08 15:22:08,57.79,-152.4072,33.8,80,75,11.5
74,Bredasdorp,ZA,2021-04-08 15:22:09,-34.5322,20.0403,71.6,60,8,6.91
75,Kruisfontein,ZA,2021-04-08 15:22:09,-34.0033,24.7314,69.01,77,14,3.0
76,Khatanga,RU,2021-04-08 15:22:09,71.9667,102.5,-20.99,100,28,3.98
77,Sukhobezvodnoye,RU,2021-04-08 15:22:10,57.0491,44.8891,38.21,75,64,16.67
78,Chernyshevskiy,RU,2021-04-08 15:22:10,63.0128,112.4714,19.35,93,100,9.22
79,Biak,ID,2021-04-08 15:22:11,-0.9131,122.8766,77.68,79,100,1.05
80,Torbay,CA,2021-04-08 15:22:11,47.6666,-52.7314,42.01,100,90,13.8
81,Airai,TL,2021-04-08 15:22:12,-8.9266,125.4092,59.97,91,35,0.83
82,East London,ZA,2021-04-08 15:20:17,-33.0153,27.9116,71.6,78,20,8.05
83,Phitsanulok,TH,2021-04-08 15:21:06,16.9167,100.5,87.01,79,0,5.75
84,Chalchihuites,MX,2021-04-08 15:22:12,23.4833,-103.8833,67.6,21,13,4.36
85,Nara,JP,2021-04-08 15:21:20,34.6851,135.8049,55.0,52,44,4.5
86,Mount Gambier,AU,2021-04-08 15:22:13,-37.8333,140.7667,55.4,88,90,11.5
87,Tuktoyaktuk,CA,2021-04-08 15:22:13,69.4541,-133.0374,-20.2,76,20,4.61
88,Myitkyina,MM,2021-04-08 15:22:13,25.3833,97.4,74.52,50,17,3.11
89,Lichinga,MZ,2021-04-08 15:20:09,-13.3128,35.2406,69.8,68,75,3.44
90,Jardim,BR,2021-04-08 15:22:14,-21.4803,-56.1381,93.15,32,12,9.73
91,Ayorou,NE,2021-04-08 15:22:14,14.7308,0.9174,107.69,3,3,10.6
92,Gravdal,NO,2021-04-08 15:22:15,68.1214,13.5031,32.0,69,40,5.75
93,Saqqez,IR,2021-04-08 15:19:01,36.2499,46.2735,61.79,44,100,4.18
94,Alice Springs,AU,2021-04-08 15:22:15,-23.7,133.8833,64.4,48,3,3.44
95,Bambous Virieux,MU,2021-04-08 15:22:15,-20.3428,57.7575,81.0,74,75,6.91
96,San Patricio,US,2021-04-08 15:22:16,28.017,-97.5169,80.6,74,1,7.43
97,Palmer,US,2021-04-08 15:22:16,42.1584,-72.3287,64.99,48,20,5.21
98,Gat,IL,2021-04-08 15:22:17,31.61,34.7642,66.0,12,43,12.53
99,Chokurdakh,RU,2021-04-08 15:22:17,70.6333,147.9167,-15.07,96,100,3.8
100,Broken Hill,AU,2021-04-08 15:22:17,-31.95,141.4333,73.4,20,99,10.36
101,Bubaque,GW,2021-04-08 15:22:18,11.2833,-15.8333,77.47,69,4,10.76
102,Tongren,CN,2021-04-08 15:22:18,27.7172,109.1853,54.73,86,100,3.4
103,Necochea,AR,2021-04-08 15:22:18,-38.5473,-58.7368,61.0,97,100,7.0
104,Pinawa,CA,2021-04-08 15:22:19,50.1489,-95.8811,46.0,66,100,11.52
105,Mitsamiouli,KM,2021-04-08 15:22:19,-11.3847,43.2844,87.8,70,40,14.97
106,Ponta Do Sol,PT,2021-04-08 15:22:19,32.6667,-17.1,64.0,74,56,3.0
107,Panorama,GR,2021-04-08 15:22:20,40.5878,23.0315,55.99,35,40,5.75
108,Cherskiy,RU,2021-04-08 15:22:20,68.75,161.3,-14.67,100,89,6.4
109,Saldanha,ZA,2021-04-08 15:22:21,-33.0117,17.9442,73.4,56,54,17.27
110,Tuatapere,NZ,2021-04-08 15:22:21,-46.1333,167.6833,44.01,95,29,1.99
111,Nador,MA,2021-04-08 15:22:22,35.174,-2.9287,60.8,72,75,14.97
112,Nome,US,2021-04-08 15:22:22,64.5011,-165.4064,-5.8,54,1,10.36
113,Qaqortoq,GL,2021-04-08 15:22:23,60.7167,-46.0333,42.8,39,40,6.91
114,Negombo,LK,2021-04-08 15:22:23,7.2083,79.8358,84.2,74,40,2.3
115,Adeje,ES,2021-04-08 15:22:23,28.1227,-16.726,73.99,68,20,8.05
116,Troutdale,US,2021-04-08 15:22:24,45.5393,-122.3873,44.6,76,90,4.61
117,Christchurch,NZ,2021-04-08 15:21:28,-43.5333,172.6333,55.4,94,90,5.75
118,Esperance,AU,2021-04-08 15:22:24,-33.8667,121.9,62.6,82,40,8.05
119,Lata,PT,2021-04-08 15:22:25,40.1629,-8.3327,71.01,43,21,4.0
120,Asuncion,PY,2021-04-08 15:19:12,-25.3007,-57.6359,86.0,58,0,13.8
121,Barrow,US,2021-04-08 15:22:25,71.2906,-156.7887,-20.2,69,40,10.36
122,Ribeira Grande,PT,2021-04-08 15:22:25,38.5167,-28.7,64.4,68,40,21.85
123,Brae,GB,2021-04-08 15:22:26,60.3964,-1.353,44.6,70,40,33.38
124,Mount Pleasant,US,2021-04-08 15:17:58,32.7941,-79.8626,77.0,56,1,8.39
125,Kamaishi,JP,2021-04-08 15:22:26,39.2667,141.8833,39.27,48,83,3.69
126,Kailua,US,2021-04-08 15:22:27,21.4022,-157.7394,71.6,56,20,16.11
127,Saskylakh,RU,2021-04-08 15:22:27,71.9167,114.0833,-6.59,99,100,7.2
128,Peniche,PT,2021-04-08 15:22:28,39.3558,-9.3811,68.0,74,79,10.0
129,Oia,PT,2021-04-08 15:22:28,40.5426,-8.5386,64.99,67,3,10.92
130,Urupes,BR,2021-04-08 15:22:28,-21.2017,-49.29,82.4,39,0,11.5
131,Porto Torres,IT,2021-04-08 15:22:29,40.835,8.3972,59.0,25,0,10.36
132,Ozinki,RU,2021-04-08 15:22:29,51.1786,49.6769,57.72,59,63,7.11
133,Nelson Bay,AU,2021-04-08 15:22:30,-32.7167,152.15,63.0,100,40,1.14
134,Isangel,VU,2021-04-08 15:22:30,-19.55,169.2667,77.43,79,95,10.96
135,Geraldton,AU,2021-04-08 15:22:31,-28.7667,114.6,71.6,68,100,10.36
136,College,US,2021-04-08 15:22:31,64.8569,-147.8028,9.0,66,90,4.61
137,Camacari,BR,2021-04-08 15:22:32,-12.6975,-38.3242,73.4,94,75,10.36
138,Norman Wells,CA,2021-04-08 15:22:32,65.282,-126.8329,-7.6,77,40,10.36
139,Turangi,NZ,2021-04-08 15:22:33,-39.0,175.9333,55.0,97,100,2.44
140,Sakakah,SA,2021-04-08 15:22:33,29.9697,40.2064,91.4,7,0,14.97
141,Miri,MY,2021-04-08 15:21:53,4.4148,114.0089,78.8,89,20,2.3
142,Qaanaaq,GL,2021-04-08 15:22:34,77.484,-69.3632,9.7,68,100,5.26
143,Mattru,SL,2021-04-08 15:22:34,7.6244,-11.8332,95.29,45,45,5.79
144,Arraial Do Cabo,BR,2021-04-08 15:21:23,-22.9661,-42.0278,77.0,73,75,8.05
145,Kenai,US,2021-04-08 15:22:34,60.5544,-151.2583,23.0,86,90,17.27
146,Upernavik,GL,2021-04-08 15:22:35,72.7868,-56.1549,16.99,58,100,4.43
147,Carnarvon,AU,2021-04-08 15:22:35,-24.8667,113.6333,77.0,78,0,18.41
148,Port Blair,IN,2021-04-08 15:22:36,11.6667,92.75,81.81,73,26,2.46
149,Agadez,NE,2021-04-08 15:22:36,19.75,10.25,100.0,4,41,5.01
150,Severo-Kurilsk,RU,2021-04-08 15:22:36,50.6789,156.125,31.91,84,100,55.43
151,Hermanus,ZA,2021-04-08 15:22:37,-34.4187,19.2345,72.0,70,8,1.99
152,Carballo,ES,2021-04-08 15:22:37,43.213,-8.691,66.99,51,71,3.0
153,Souillac,MU,2021-04-08 15:22:37,-20.5167,57.5167,80.6,74,75,6.91
154,Peterhead,GB,2021-04-08 15:18:04,57.5058,-1.7981,53.6,50,100,23.02
155,Harper,LR,2021-04-08 15:22:38,4.375,-7.7169,85.48,71,36,8.08
156,Nouadhibou,MR,2021-04-08 15:22:38,20.931,-17.0347,73.4,60,0,19.57
157,Urucara,BR,2021-04-08 15:22:39,-2.5364,-57.76,90.41,54,98,3.36
158,Lasa,IT,2021-04-08 15:22:39,46.6166,10.7002,60.8,28,0,3.44
159,Dickinson,US,2021-04-08 15:17:58,29.4608,-95.0513,77.0,64,1,6.91
160,Avarua,CK,2021-04-08 15:22:40,-21.2078,-159.775,77.0,88,90,6.91
161,Hilo,US,2021-04-08 15:22:40,19.7297,-155.09,66.2,88,90,9.22
162,Nikolskoye,RU,2021-04-08 15:22:40,59.7035,30.7861,39.2,65,40,15.66
163,Port Macquarie,AU,2021-04-08 15:22:41,-31.4333,152.9167,61.0,99,16,3.0
164,Hamilton,US,2021-04-08 15:21:20,39.1834,-84.5333,66.2,63,90,9.22
165,Voi,KE,2021-04-08 15:22:41,-3.3945,38.563,78.69,69,41,12.33
166,Fort Nelson,CA,2021-04-08 15:22:42,58.8053,-122.7002,6.8,85,75,1.99
167,Zapolyarnyy,RU,2021-04-08 15:22:42,69.4154,30.8136,30.2,86,40,2.3
168,Krasnyy Chikoy,RU,2021-04-08 15:22:42,50.3643,108.7512,38.46,72,55,2.82
169,Pevek,RU,2021-04-08 15:22:43,69.7008,170.3133,-25.24,99,84,4.92
170,Vila Franca Do Campo,PT,2021-04-08 15:22:43,37.7167,-25.4333,62.6,82,40,20.71
171,Strezhevoy,RU,2021-04-08 15:22:44,60.7333,77.5889,30.2,93,0,2.24
172,Koumac,NC,2021-04-08 15:22:44,-20.5667,164.2833,77.36,81,100,7.0
173,Naze,JP,2021-04-08 15:22:44,28.3667,129.4833,62.28,68,100,7.7
174,Zheleznogorsk,RU,2021-04-08 15:22:21,52.331,35.3711,40.24,57,76,12.62
175,Chervone,UA,2021-04-08 15:22:45,49.9564,28.8645,43.36,43,99,10.69
176,Barcelos,PT,2021-04-08 15:22:45,41.5388,-8.6151,66.99,72,0,8.05
177,Florida,US,2021-04-08 15:18:21,28.7505,-82.5001,79.0,53,1,4.61
178,Ulladulla,AU,2021-04-08 15:22:46,-35.35,150.4667,64.4,94,68,10.36
